;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
63;kimberly ll;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.008298755186721992;0.021367521367521368;0.0;0.035042620640264865;0.0;0.006924568631876999;0.0035042620640264865;0.021367521367521368
64;rodriguez ed;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.016597510373443983;0.01282051282051282;0.0;0.03479436727997831;0.0;0.006215421464813773;0.003479436727997831;0.016597510373443983
65;magnus d;0.005494505494505495;0.006329113924050633;0.0;0.0;0.0;0.0;0.004878048780487805;0.005376344086021506;0.004149377593360996;0.008547008547008548;0.00641025641025641;0.03477439842543498;0.0;0.003202265174992255;0.0034774398425434978;0.008547008547008548
66;dobbels f;0.0;0.0;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.012578616352201259;0.0;0.0;0.0;0.004273504273504274;0.0;0.034675152755414114;0.0;0.004258643182541787;0.0034675152755414113;0.012578616352201259
67;siegler m;0.0;0.012658227848101266;0.0;0.0;0.011494252873563218;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.00641025641025641;0.034591166491126105;0.0;0.005049383165853414;0.0034591166491126104;0.012658227848101266
68;lennerling a;0.005494505494505495;0.0;0.005319148936170213;0.006756756756756757;0.0;0.012578616352201259;0.0;0.0;0.004149377593360996;0.0;0.0;0.03429840513299472;0.0;0.004241823011994007;0.0034298405132994723;0.012578616352201259
69;lantos jd;0.0;0.0;0.005319148936170213;0.013513513513513514;0.005747126436781609;0.0;0.0;0.005376344086021506;0.0;0.004273504273504274;0.00641025641025641;0.03422963724599112;0.0;0.004396197385533834;0.003422963724599112;0.013513513513513514
70;citterio f;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.012578616352201259;0.004878048780487805;0.0;0.004149377593360996;0.0;0.00641025641025641;0.034109925919588426;0.0;0.004236990587922844;0.0034109925919588425;0.012578616352201259
71;danovitch g;0.0;0.006329113924050633;0.0;0.0;0.005747126436781609;0.012578616352201259;0.004878048780487805;0.0;0.004149377593360996;0.0;0.0;0.0336822830868823;0.0;0.004201478702690381;0.00336822830868823;0.012578616352201259
72;trey t;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.014634146341463415;0.0;0.0;0.0;0.00641025641025641;0.03342733771110241;0.0;0.0049515224368364905;0.003342733771110241;0.014634146341463415
73;koplin jj;0.0;0.0;0.0;0.0;0.005747126436781609;0.012578616352201259;0.0;0.010752688172043012;0.004149377593360996;0.0;0.0;0.033227808554386874;0.0;0.004872598699998006;0.0033227808554386873;0.012578616352201259
74;dew ma;0.0;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.0331172096599435;0.0;0.002969575414742666;0.00331172096599435;0.006756756756756757
75;nair-collins m;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.004878048780487805;0.010752688172043012;0.004149377593360996;0.0;0.0;0.0328261794787492;0.0;0.0038598553589644226;0.00328261794787492;0.010752688172043012
76;zuidema wc;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.0;0.005376344086021506;0.008298755186721992;0.0;0.0;0.03254302380104538;0.0;0.0062170746030106375;0.003254302380104538;0.018867924528301886
77;parker wf;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.010752688172043012;0.012448132780082987;0.004273504273504274;0.019230769230769232;0.032352374006118075;0.0;0.004807019184173096;0.0032352374006118074;0.012448132780082987
78;bendorf a;0.0;0.006329113924050633;0.005319148936170213;0.02027027027027027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03191853313049112;0.0;0.006475214364348181;0.0031918533130491115;0.02027027027027027
79;garcia gg;0.0;0.0;0.031914893617021274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031914893617021274;0.0;0.010092375511175679;0.0031914893617021275;0.031914893617021274
80;glazier ak;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.00975609756097561;0.005376344086021506;0.0;0.004273504273504274;0.0;0.03190982911403976;0.0;0.0036394269827946233;0.003190982911403976;0.00975609756097561
81;akabayashi a;0.01098901098901099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02074688796680498;0.0;0.01282051282051282;0.03173589895581597;0.0;0.00707479873738379;0.003173589895581597;0.02074688796680498
82;draper h;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.00975609756097561;0.0;0.004149377593360996;0.0;0.00641025641025641;0.03168903620400045;0.0;0.0045172818637993885;0.0031689036204000454;0.011494252873563218
83;dhanani s;0.0;0.0;0.0;0.006756756756756757;0.0;0.0;0.0;0.016129032258064516;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.03130867088168654;0.0;0.005198892290156441;0.003130867088168654;0.016129032258064516
84;gentry se;0.0;0.0;0.010638297872340425;0.0;0.0;0.006289308176100629;0.00975609756097561;0.0;0.0;0.004273504273504274;0.0;0.030957207882920938;0.0;0.004350455727837977;0.0030957207882920936;0.010638297872340425
85;padela ai;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.0;0.0;0.012448132780082987;0.0;0.019230769230769232;0.03069914241040296;0.0;0.005147641166684998;0.003069914241040296;0.012448132780082987
86;levin a;0.005494505494505495;0.0;0.0;0.006756756756756757;0.011494252873563218;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.0300348233009261;0.0;0.004180743393261888;0.00300348233009261;0.011494252873563218
87;welin s;0.01098901098901099;0.006329113924050633;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.02982200810659999;0.0;0.0040901514910756664;0.002982200810659999;0.01098901098901099
88;omar f;0.01098901098901099;0.006329113924050633;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.02982200810659999;0.0;0.0040901514910756664;0.002982200810659999;0.01098901098901099
89;rees ma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021505376344086023;0.008298755186721992;0.0;0.0;0.029804131530808013;0.0;0.007012068356446853;0.0029804131530808014;0.021505376344086023
90;angelos p;0.005494505494505495;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.029646651548264707;0.0;0.0031505105132313776;0.0029646651548264707;0.006756756756756757
91;mandelbrot da;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.0;0.010752688172043012;0.0;0.0;0.01282051282051282;0.029620612700344898;0.0;0.006530958830885625;0.0029620612700344898;0.018867924528301886
92;moazam f;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.0;0.0;0.0;0.0;0.02941836658690841;0.0;0.004144317916886074;0.0029418366586908408;0.011494252873563218
93;hippen b;0.01098901098901099;0.0;0.0;0.0;0.005747126436781609;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.02931475377799386;0.0;0.005011918408779691;0.0029314753777993858;0.012578616352201259
94;glannon w;0.0;0.012658227848101266;0.005319148936170213;0.006756756756756757;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.02888351113438923;0.0;0.0043201009812893236;0.002888351113438923;0.012658227848101266
95;sherman la;0.005494505494505495;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.010752688172043012;0.0;0.0;0.0;0.028825810018749766;0.0;0.004954669521062421;0.0028825810018749767;0.012578616352201259
96;cherkassky l;0.01098901098901099;0.012658227848101266;0.0;0.0;0.0;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.02852528761760006;0.0;0.004982360566250907;0.002852528761760006;0.012658227848101266
97;frunza m;0.0;0.0;0.0;0.006756756756756757;0.0;0.012578616352201259;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.028486926162950094;0.0;0.004278928392132567;0.0028486926162950093;0.012578616352201259
98;knoll g;0.005494505494505495;0.0;0.0;0.0;0.005747126436781609;0.0;0.0;0.0;0.004149377593360996;0.01282051282051282;0.0;0.02821152234516092;0.0;0.004284506155900891;0.002821152234516092;0.01282051282051282
99;herve c;0.0;0.006329113924050633;0.010638297872340425;0.006756756756756757;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.02787354614650881;0.0;0.003921574279806561;0.002787354614650881;0.010638297872340425
100;schiano td;0.01098901098901099;0.006329113924050633;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.027756810682523246;0.0;0.00395171866126239;0.0027756810682523247;0.01098901098901099
101;diaz-siso jr;0.0;0.0;0.0;0.006756756756756757;0.0;0.0;0.0;0.0;0.016597510373443983;0.004273504273504274;0.0;0.027627771403705016;0.0;0.005406421860144965;0.002762777140370502;0.016597510373443983
102;mussell a;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.0;0.005376344086021506;0.004149377593360996;0.0;0.00641025641025641;0.02730928272904635;0.0;0.003989095752192863;0.0027309282729046347;0.011494252873563218
103;brannstrom m;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.004878048780487805;0.0;0.004149377593360996;0.0;0.01282051282051282;0.027278436004168776;0.0;0.004005177180505059;0.0027278436004168774;0.011494252873563218
104;ambagtsheer f;0.0;0.0;0.005319148936170213;0.0;0.0;0.006289308176100629;0.004878048780487805;0.010752688172043012;0.0;0.0;0.00641025641025641;0.02723919406480166;0.0;0.0038451562060329964;0.002723919406480166;0.010752688172043012
105;gill j;0.005494505494505495;0.0;0.005319148936170213;0.006756756756756757;0.0;0.0;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.027220259546958246;0.0;0.00292898085102178;0.0027220259546958244;0.006756756756756757
106;brierley j;0.0;0.006329113924050633;0.005319148936170213;0.0;0.0;0.006289308176100629;0.004878048780487805;0.0;0.0;0.004273504273504274;0.00641025641025641;0.027089124090313554;0.0;0.0029170487385022053;0.0027089124090313556;0.006329113924050633
107;sade rm;0.005494505494505495;0.006329113924050633;0.0;0.0;0.0;0.0;0.00975609756097561;0.005376344086021506;0.0;0.0;0.0;0.026956061065553247;0.0;0.003676817256304875;0.0026956061065553246;0.00975609756097561
108;wightman a;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.010752688172043012;0.004149377593360996;0.0;0.00641025641025641;0.026938500378286247;0.0;0.0038420801178630573;0.0026938500378286246;0.010752688172043012
109;neuberger j;0.0;0.006329113924050633;0.010638297872340425;0.0;0.0;0.0;0.00975609756097561;0.0;0.0;0.0;0.0;0.02672350935736667;0.0;0.004434685371104599;0.002672350935736667;0.010638297872340425
110;brown d;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.0;0.0;0.004149377593360996;0.004273504273504274;0.01282051282051282;0.026673891497185243;0.0;0.003973553341489744;0.002667389149718524;0.011494252873563218
111;garcia garcia g;0.0;0.0;0.026595744680851064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01282051282051282;0.026595744680851064;0.0;0.008410312925979732;0.0026595744680851063;0.026595744680851064
112;abt p;0.005494505494505495;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.004878048780487805;0.0;0.004149377593360996;0.0;0.01282051282051282;0.026558366481236533;0.0;0.0028529217293740074;0.0026558366481236532;0.006289308176100629
113;van dijk g;0.0;0.006329113924050633;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.005376344086021506;0.004149377593360996;0.0;0.0;0.026480010820702546;0.0;0.0028457730464266657;0.0026480010820702548;0.006329113924050633
114;haberal m;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.004878048780487805;0.0;0.0;0.008547008547008548;0.0;0.02647112226035374;0.0;0.003527413954209081;0.0026471122260353737;0.008547008547008548
115;locke je;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.012448132780082987;0.008547008547008548;0.0;0.02637148541311304;0.0;0.004562734514583075;0.002637148541311304;0.012448132780082987
