;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
72;trey t;0;0;0;1;1;1;3;0;0;0;1;7;0;0.92;0.64;3
73;mandelbrot da;0;0;0;0;0;3;0;2;0;0;2;7;0;1.12;0.64;3
74;verheijde jl;3;1;2;1;0;0;0;0;0;0;0;7;0;1.03;0.64;3
75;muller e;0;0;0;0;0;1;2;0;0;2;2;7;0;0.92;0.64;2
76;dew ma;0;1;1;1;0;1;0;0;1;1;1;7;0;0.5;0.64;1
77;rhodes r;4;1;0;0;0;1;0;0;1;0;0;7;0;1.21;0.64;4
78;cronin aj;2;2;1;2;0;0;0;0;0;0;0;7;0;0.92;0.64;2
79;citterio f;0;0;0;1;1;2;1;0;1;0;1;7;0;0.67;0.64;2
80;garcia garcia g;0;0;5;0;0;0;0;0;0;0;2;7;0;1.57;0.64;5
81;dobbels f;0;0;1;1;1;2;0;0;0;1;0;6;0;0.69;0.55;2
82;zuidema wc;0;0;0;0;0;3;0;1;2;0;0;6;0;1.04;0.55;3
83;wall sp;0;0;0;0;1;2;1;0;0;0;2;6;0;0.82;0.55;2
84;ysebaert d;0;0;0;0;0;0;2;1;0;2;1;6;0;0.82;0.55;2
85;garcia gg;0;0;6;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
86;diaz-siso jr;0;0;0;1;0;0;0;0;4;1;0;6;0;1.21;0.55;4
87;moorlock g;0;0;0;0;0;1;1;1;2;0;1;6;0;0.69;0.55;2
88;wall a;0;0;0;1;0;0;1;0;0;1;3;6;0;0.93;0.55;3
89;koplin jj;0;0;0;0;1;2;0;2;1;0;0;6;0;0.82;0.55;2
90;bruce cr;0;0;0;1;0;3;0;2;0;0;0;6;0;1.04;0.55;3
91;nair-collins m;0;0;0;1;0;1;1;2;1;0;0;6;0;0.69;0.55;2
92;rees ma;0;0;0;0;0;0;0;4;2;0;0;6;0;1.29;0.55;4
93;massie ab;0;0;0;0;0;1;0;1;3;0;1;6;0;0.93;0.55;3
94;friedewald j;0;0;1;0;0;1;0;0;1;2;1;6;0;0.69;0.55;2
95;knoll g;1;0;0;0;1;0;0;0;1;3;0;6;0;0.93;0.55;3
96;durand cm;0;0;0;0;0;0;1;0;1;1;3;6;0;0.93;0.55;3
97;bruzzone p;1;1;1;0;0;3;0;0;0;0;0;6;0;0.93;0.55;3
98;lee j;0;0;0;0;1;0;0;0;1;2;2;6;0;0.82;0.55;2
99;churpek mm;0;0;0;0;0;0;0;2;1;1;2;6;0;0.82;0.55;2
100;axelrod da;0;0;0;0;0;0;4;0;1;0;1;6;0;1.21;0.55;4
101;wightman a;0;0;0;0;1;1;0;2;1;0;1;6;0;0.69;0.55;2
102;lentine kl;0;0;1;0;0;0;1;1;2;0;1;6;0;0.69;0.55;2
103;gentry se;0;0;2;0;0;1;2;0;0;1;0;6;0;0.82;0.55;2
104;brierley j;0;1;1;0;0;1;1;0;0;1;1;6;0;0.52;0.55;1
105;lennerling a;1;0;1;1;0;2;0;0;1;0;0;6;0;0.69;0.55;2
106;mussell a;0;0;0;0;2;1;0;1;1;0;1;6;0;0.69;0.55;2
107;locke je;0;0;0;0;0;0;0;1;3;2;0;6;0;1.04;0.55;3
108;glazier ak;0;0;0;1;1;0;2;1;0;1;0;6;0;0.69;0.55;2
109;ambagtsheer f;0;0;1;0;0;1;1;2;0;0;1;6;0;0.69;0.55;2
110;johannesson l;0;0;0;0;2;0;0;2;0;0;2;6;0;0.93;0.55;2
111;halpern sd;1;1;0;3;0;0;1;0;0;0;0;6;0;0.93;0.55;3
112;demme ra;1;1;0;0;0;0;0;0;2;0;2;6;0;0.82;0.55;2
113;danovitch g;0;1;0;0;1;2;1;0;1;0;0;6;0;0.69;0.55;2
114;ashkenazi t;0;1;0;0;0;0;1;2;0;1;1;6;0;0.69;0.55;2
115;van de wetering j;0;0;0;0;0;0;1;1;2;1;0;5;0;0.69;0.45;2
116;andreoni ka;0;1;0;0;1;0;0;0;1;1;1;5;0;0.52;0.45;1
117;cherkassky l;2;2;0;0;0;0;1;0;0;0;0;5;0;0.82;0.45;2
118;angelos p;1;1;1;1;1;0;0;0;0;0;0;5;0;0.52;0.45;1
119;kerridge i;1;1;0;0;1;0;0;1;0;0;1;5;0;0.52;0.45;1
120;savulescu j;0;0;1;0;0;1;1;0;0;1;1;5;0;0.52;0.45;1
121;krawiec kd;0;0;1;0;0;0;0;3;1;0;0;5;0;0.93;0.45;3
122;ijzermans jn;0;0;0;0;0;1;4;0;0;0;0;5;0;1.21;0.45;4
123;bendorf a;0;1;1;3;0;0;0;0;0;0;0;5;0;0.93;0.45;3
124;dunn tb;0;0;0;0;0;0;0;3;1;1;0;5;0;0.93;0.45;3
125;neuberger j;0;1;2;0;0;0;2;0;0;0;0;5;0;0.82;0.45;2
126;schicktanz s;0;0;1;0;1;0;0;0;1;1;1;5;0;0.52;0.45;1
127;formica rn jr;1;0;0;0;1;0;2;0;0;0;1;5;0;0.69;0.45;2
128;goldberg a;1;0;0;0;0;0;0;0;1;1;2;5;0;0.69;0.45;2
129;dahm-kahler p;0;0;0;0;1;0;1;0;1;0;2;5;0;0.69;0.45;2
130;shults j;0;0;0;0;2;1;0;0;2;0;0;5;0;0.82;0.45;2
131;levin a;1;0;0;1;2;1;0;0;0;0;0;5;0;0.69;0.45;2
132;gill j;1;0;1;1;0;0;0;1;0;1;0;5;0;0.52;0.45;1
133;herve c;0;1;2;1;0;0;0;0;1;0;0;5;0;0.69;0.45;2
134;arora ks;0;0;0;0;1;1;0;0;2;0;1;5;0;0.69;0.45;2
135;burnapp l;0;0;0;0;2;2;0;0;0;0;1;5;0;0.82;0.45;2
136;blumberg e;0;0;0;1;0;1;1;0;1;0;1;5;0;0.52;0.45;1
137;moazam f;0;0;0;1;2;1;1;0;0;0;0;5;0;0.69;0.45;2
138;feng s;0;0;1;0;0;0;3;0;1;0;0;5;0;0.93;0.45;3
139;lopez-fraga m;0;0;0;0;1;0;1;0;1;1;1;5;0;0.52;0.45;1
140;glannon w;0;2;1;1;0;0;0;0;1;0;0;5;0;0.69;0.45;2
141;haberal m;0;0;0;1;0;1;1;0;0;2;0;5;0;0.69;0.45;2
142;gustot t;0;0;0;0;2;1;0;1;0;0;1;5;0;0.69;0.45;2
143;tullius sg;0;0;1;0;0;0;0;0;1;1;2;5;0;0.69;0.45;2
144;van heurn e;1;0;0;0;0;0;2;1;0;1;0;5;0;0.69;0.45;2
145;de wert g;0;0;0;0;1;1;1;0;1;1;0;5;0;0.52;0.45;1
146;schiano td;2;1;0;0;0;1;0;0;1;0;0;5;0;0.69;0.45;2
147;sade rm;1;1;0;0;0;0;2;1;0;0;0;5;0;0.69;0.45;2
148;fiatarone singh m;0;0;0;0;0;0;3;0;0;1;1;5;0;0.93;0.45;3
149;mathur ak;0;0;0;0;0;0;0;1;1;2;1;5;0;0.69;0.45;2
150;van dijk g;0;1;0;0;1;0;1;1;1;0;0;5;0;0.52;0.45;1
151;etheredge hr;0;0;0;0;0;0;0;1;2;2;0;5;0;0.82;0.45;2
152;omar f;2;1;0;1;1;0;0;0;0;0;0;5;0;0.69;0.45;2
153;welin s;2;1;0;1;1;0;0;0;0;0;0;5;0;0.69;0.45;2
154;tzakis a;0;0;0;1;2;0;0;0;0;0;2;5;0;0.82;0.45;2
155;shapiro me;0;1;1;0;0;1;0;1;0;0;1;5;0;0.52;0.45;1
156;wang y;1;1;0;0;0;0;0;0;2;1;0;5;0;0.69;0.45;2
157;hippen b;2;0;0;0;1;2;0;0;0;0;0;5;0;0.82;0.45;2
158;stewart c;0;0;0;3;0;0;0;1;0;0;1;5;0;0.93;0.45;3
159;cooper m;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
160;frunza m;0;0;0;1;0;2;1;0;0;1;0;5;0;0.69;0.45;2
161;sherman la;1;0;0;0;0;2;0;2;0;0;0;5;0;0.82;0.45;2
162;d'aragon f;0;0;0;0;0;0;0;1;1;1;2;5;0;0.69;0.45;2
163;coll e;0;0;0;0;0;0;1;1;0;1;2;5;0;0.69;0.45;2
164;butt z;1;0;0;0;0;1;0;0;1;2;0;5;0;0.69;0.45;2
165;garrity er jr;0;0;0;1;0;0;0;2;1;1;0;5;0;0.69;0.45;2
166;cozzi e;0;0;1;0;1;0;1;0;1;1;0;5;0;0.52;0.45;1
167;detry o;0;1;0;0;1;0;0;0;0;2;1;5;0;0.69;0.45;2
168;martins pn;0;0;0;0;0;0;0;1;2;0;1;4;0;0.67;0.36;2
169;allard j;0;0;0;0;1;0;0;1;1;1;0;4;0;0.5;0.36;1
170;brandacher g;1;0;0;0;0;0;0;1;2;0;0;4;0;0.67;0.36;2
171;ison mg;0;1;0;0;1;0;0;0;0;1;1;4;0;0.5;0.36;1
172;daniels n;0;0;0;0;0;0;0;0;1;3;0;4;0;0.92;0.36;3
173;wind t;0;0;0;0;0;0;1;2;1;0;0;4;0;0.67;0.36;2
174;pondrom s;0;0;2;1;0;0;1;0;0;0;0;4;0;0.67;0.36;2
175;biller-andorno n;0;1;1;1;0;0;0;1;0;0;0;4;0;0.5;0.36;1
176;nakagawa ta;1;0;0;2;0;1;0;0;0;0;0;4;0;0.67;0.36;2
177;tsai df;1;1;0;0;0;1;0;1;0;0;0;4;0;0.5;0.36;1
178;bueno em;0;0;1;1;0;0;0;0;2;0;0;4;0;0.67;0.36;2
179;randhawa g;0;0;0;0;0;0;1;0;1;1;1;4;0;0.5;0.36;1
180;ekwenna o;0;0;0;0;0;0;0;3;1;0;0;4;0;0.92;0.36;3
181;feldman hi;0;0;0;0;2;1;0;1;0;0;0;4;0;0.67;0.36;2
182;zeiler k;1;0;1;0;1;0;0;0;0;1;0;4;0;0.5;0.36;1
183;newell ka;0;1;0;0;0;0;2;1;0;0;0;4;0;0.67;0.36;2
184;nakazawa e;0;0;0;0;0;0;0;0;3;0;1;4;0;0.92;0.36;3
185;jindal rm;0;0;0;1;0;0;0;3;0;0;0;4;0;0.92;0.36;3
186;krones t;0;0;1;1;0;0;0;0;1;1;0;4;0;0.5;0.36;1
187;pirnay p;0;1;1;1;0;0;1;0;0;0;0;4;0;0.5;0.36;1
188;martin d;1;0;0;1;1;1;0;0;0;0;0;4;0;0.5;0.36;1
189;falcone t;0;0;0;0;0;1;1;0;0;0;2;4;0;0.67;0.36;2
190;marsh cl;0;0;0;0;0;0;0;3;1;0;0;4;0;0.92;0.36;3
191;farrell rm;0;0;0;0;0;1;1;0;0;1;1;4;0;0.5;0.36;1
192;adler jt;0;0;0;0;0;1;2;0;0;0;1;4;0;0.67;0.36;2
193;balayla j;0;0;0;1;0;0;3;0;0;0;0;4;0;0.92;0.36;3
194;smith ml;0;0;1;2;0;0;1;0;0;0;0;4;0;0.67;0.36;2
195;zhang y;0;0;0;0;0;0;0;0;2;1;1;4;0;0.67;0.36;2
196;thuong m;1;1;1;0;0;0;1;0;0;0;0;4;0;0.5;0.36;1
197;gorantla vs;1;0;1;0;0;0;1;0;0;1;0;4;0;0.5;0.36;1
198;singh a;0;0;0;0;0;0;0;1;2;0;1;4;0;0.67;0.36;2
199;siemionow m;1;1;1;0;0;0;1;0;0;0;0;4;0;0.5;0.36;1
200;van pilsum rasmussen se;0;0;0;0;0;0;0;0;1;1;2;4;0;0.67;0.36;2
201;wittsack hj;1;1;0;1;1;0;0;0;0;0;0;4;0;0.5;0.36;1
202;hornby l;0;0;0;0;0;1;1;0;1;0;1;4;0;0.5;0.36;1
