;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
1561;manshadi v;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1562;wilson-genderson m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1563;campbell jd;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1564;orloff sl;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1565;putignano a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1566;sosin m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1567;gauthier t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1568;aubard y;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1569;piver p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1570;leveque j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1571;duros s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1572;lavoue v;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1573;mcdonald m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1574;john s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1575;enosawa s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1576;chinnici c;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1577;pietrosi g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1578;mezrich j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1579;mathias e;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1580;thomas ae;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1581;ivanovski n;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1582;daphnee dk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1583;rajalakshmi p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1584;merchant n;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1585;stephens cq;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1586;kingham tp;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1587;simeone dm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1588;holterman ax;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1589;nadler ep;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1590;swaroop m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1591;nwomeh bc;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1592;yang gp;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1593;krishnaswami s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1594;vaidya a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1595;luyckx v;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1596;drewniak d;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1597;ernandez t;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1598;broderick a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1599;ramamurthy a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1600;bhuvaneshwari s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1601;khakhar a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1602;suguitan g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1603;arogundade f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1604;shah pr;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1605;chang yk;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1606;wechsler cj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1607;abalovich a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1608;forns x;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1609;saud dar f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1610;hafeez bhatti ab;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1611;koch p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1612;pessoa vlmp;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1613;guedes mvc;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1614;silva lfd;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1615;barros lbf;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1616;hatta t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1617;sawai t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1618;baumann h;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1619;alpinar-sencan z;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1620;hasz r;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1621;nathan h;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1622;moritsugu kp;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1623;carulla me;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1624;siciliano me;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1625;sznaider d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1626;hospodiuk m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1627;huang sw;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1628;takada y;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1629;ozbolat it;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1630;rizk e;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1631;dey m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1632;datta p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1633;moncal kk;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1634;koduru sv;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1635;lockwood mb;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1636;leberfinger an;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1637;ravnic dj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1638;lee cs;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1639;becker yt;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1640;cunningham pn;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1641;mcgivern cl;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1642;nass r;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1643;segal g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1644;arnold j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1645;rosenberg p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1646;chen f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1647;goldsmith pm;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1648;vervelde j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1649;al-malki h;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1650;al-maslamani y;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1651;asim m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1652;chen t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1653;liu r;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1654;yao d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1655;okechukwu o;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1656;luo m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1657;bailey b;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1658;nel jd;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1659;bezuidenhout k;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1660;al-qaoud t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1661;opondo d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1662;spies pv;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1663;bottomley mj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1664;ross vc;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1665;ramirez j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1666;willock ep;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1667;ciccarone m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1668;fu l;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1669;kallan mj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1670;singer al;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1671;pelletier sj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1672;mekeel kl;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1673;mccune kr;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1674;schaffer rl;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1675;wandless d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1676;kuntz kk;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1677;clayville ka;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1678;sudan d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1679;androshchuk v;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1680;nash p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1681;papachristos s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1682;falconer sj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1683;lin yp;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1684;hsu cc;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1685;olowu wa;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1686;kim i;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1687;shu w;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1688;faulkner-jones a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1689;seymour t;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1690;haddow g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1691;vermeulen n;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1692;landsberg dn;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1693;toews m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1694;lesage j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1695;shick-makaroff k;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1696;rose c;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1697;tinckam k;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1698;hurst sa;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1699;flores menendez p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1700;bollondi c;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1701;lamuela-naulin m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1702;escher m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1703;morresi a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1704;laufer g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1705;cameron a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1706;sopko na;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1707;lazaro-munoz g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1708;fung jy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1709;lucey mr;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1710;mathurin p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1711;louvet a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1712;artru f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1713;deem mj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1714;barnes a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1715;zimbrean p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1716;tuffaha sh;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1717;joyce m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1718;jaji z;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1719;sadegh beigee f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1720;mazaheri m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1721;redett rj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1722;bivalacqua tj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1723;lough d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1724;mahillo b;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1725;marazuela r;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1726;zhang g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1727;han p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1728;dhai a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1729;asberg a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1730;bergan s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1731;holdaas h;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1732;midtvedt k;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1733;shaffer a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1734;yuan j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1735;qin f;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1736;ojo a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1737;lillesand c;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1738;sixt su;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1739;boergel m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1740;tietz s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1741;hofmann n;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1742;schwarz s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1743;schulte a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1744;hong b;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1745;santosh d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1746;purves d;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1747;byrne p;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1748;tsui s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1749;prabhu a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1750;baines ls;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1751;prasad n;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1752;holland g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1753;connors m;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1754;macdonald si;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1755;macdonald s;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1756;birchall iw;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1757;blackmer j;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1758;de lima ml;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1759;de freitas rap;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1760;low g;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1761;patel vh;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1762;lee kh;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1763;kumar a;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
1764;patel hv;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1765;modi pr;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1766;hippen be;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1767;mariante-neto g;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1768;obwegeser a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1769;eschertzhuber s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1770;posch w;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1771;fuchs s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1772;knabl l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1773;berktold m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1774;hinterberger g;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1775;mayr a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1776;kreidl p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1777;haase-kromwijk bjjm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1778;reiger-van de wijdeven jmmpj;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1779;reinders mej;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1780;khauli rb;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1781;dargham ra;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1782;yacoubian aa;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1783;prasad gvr;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1784;buggs j;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1785;lass-florl c;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1786;orth-holler d;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1787;legrand m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1788;bruderer a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1789;mucenic m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1790;galant lh;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1791;fernandes sa;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1792;fleck am jr;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1793;marroni ca;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1794;smadja c;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1795;wind p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1796;cesaretti m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1797;chaouat m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1798;costi r;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1799;fuks d;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1800;zarzavadjian le bian a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1801;vallet b;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1802;mimoun m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1803;seval f;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1804;mebazaa a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1805;athienitis a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1806;sterling rk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1807;carroll nv;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1808;gyllstrom krekula l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1809;pham t;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1810;connor s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1811;herbert lk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1812;baskin as;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1813;nassiri n;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1814;baboolal k;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1815;forinder u;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1816;punch jd;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1817;uetake y;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1818;ortiz j;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1819;sindhwani p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1820;brunner rj;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1821;basagoitia l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1822;bozek dn;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1823;chhabra j;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1824;singh r;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1825;maeda s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1826;robbins nm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1827;padela a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1828;naidoo p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1829;kubilis p;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1830;ahmed m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1831;rahmel a;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1832;winterhalter fs;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1833;naidu v;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1834;mahoney s;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1835;rambiritch v;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1836;solano-ruiz mc;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1837;viebahn r;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1838;ramirez-perdomo ca;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1839;kuypers d;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1840;schwenger v;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1841;diekmann f;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1842;epailly e;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1843;wennberg l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1844;berenguer m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1845;de mattos meine mh;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1846;brandao abm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1847;blake vk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1848;oyouni aaa;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1849;symons x;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1850;mcdiarmid sv;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1851;alhefzi m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1852;cui l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1853;kang x;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1854;zhou l;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1855;yu j;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1856;xu c;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1857;yang q;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1858;lei h;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1859;kobayashi j;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1860;fujita t;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1861;hayashi t;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1862;yamamoto h;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1863;onda k;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1864;hamasaki t;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1865;takewa y;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1866;chua rm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1867;henderson m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1868;rothblatt m;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1869;khush kk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
1870;rangel lk;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
