;coi_lemmas;df_2021;df_2022;total;min;std;mean;max
1;interest;0.36585365853658536;0.3;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
2;declare;0.36585365853658536;0.3;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
3;author;0.3170731707317073;0.3;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
4;conflict;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
5;research;0.17073170731707318;0.2;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
6;compete;0.14634146341463414;0.1;0.14634146341463414;0.14634146341463414;;0.14634146341463414;0.14634146341463414
7;llc;0.14634146341463414;0.0;0.14634146341463414;0.14634146341463414;;0.14634146341463414;0.14634146341463414
8;medicine;0.12195121951219512;0.0;0.12195121951219512;0.12195121951219512;;0.12195121951219512;0.12195121951219512
9;health;0.0975609756097561;0.0;0.0975609756097561;0.0975609756097561;;0.0975609756097561;0.0975609756097561
10;allergy;0.0975609756097561;0.0;0.0975609756097561;0.0975609756097561;;0.0975609756097561;0.0975609756097561
11;potential;0.07317073170731707;0.2;0.07317073170731707;0.07317073170731707;;0.07317073170731707;0.07317073170731707
12;financial;0.07317073170731707;0.3;0.07317073170731707;0.07317073170731707;;0.07317073170731707;0.07317073170731707
13;publication;0.07317073170731707;0.0;0.07317073170731707;0.07317073170731707;;0.07317073170731707;0.07317073170731707
14;receive;0.07317073170731707;0.0;0.07317073170731707;0.07317073170731707;;0.07317073170731707;0.07317073170731707
15;fare;0.07317073170731707;0.0;0.07317073170731707;0.07317073170731707;;0.07317073170731707;0.07317073170731707
16;general;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
17;henan;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
18;chinese;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
19;johnson;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
20;tcm;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
21;pct;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
22;share;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
23;education;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
