;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
35;perform;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;2;0;0;0;0;0;1;0;3;1;0;14;0;1.05;0.41;5
36;ratio;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;3;1;0;0;0;0;0;0;1;0;4;0;0;0;0;14;0;0.96;0.41;4
37;marc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;5;0;0;0;0;0;0;14;0;1.35;0.41;5
38;time;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;14;0;1.18;0.41;5
39;different;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;2;0;2;1;0;2;1;1;0;0;0;0;0;14;0;0.74;0.41;2
40;breast;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;14;0;1.56;0.41;7
41;strain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;5;0;0;0;0;0;0;13;0;1.35;0.38;6
42;food;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;13;0;1.74;0.38;10
43;yeast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;1;3;0;0;0;0;0;0;13;0;1.18;0.38;5
44;spirit;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;5;1;0;0;0;0;0;0;13;0;1.02;0.38;5
45;treatment;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;5;0;0;0;2;0;0;1;0;1;0;12;0;0.95;0.35;5
46;datum;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3;3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;12;0;0.81;0.35;3
47;case;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;12;0;1.1;0.35;5
48;base;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;2;0;1;0;0;3;0;0;0;0;1;0;0;12;0;0.77;0.35;3
49;quality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;2;5;0;0;0;0;0;0;12;0;1.07;0.35;5
50;technique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;2;0;0;3;0;0;12;0;1.01;0.35;4
51;wine;0;0;0;0;0;0;0;0;3;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;12;0;0.81;0.35;3
52;ml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;5;0;0;12;0;1.18;0.35;5
53;3d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1.74;0.35;10
